"Date","City","Type","Observations"
"2019-06-30","Waikato Region","Orders",""
"2019-06-30","Waikato Region","Total",""
"2019-06-30","Wellington Region","Sentences",""
"2019-06-30","Wellington Region","Orders",""
"2019-06-30","Wellington Region","Total",""
"2019-09-30","Auckland","Sentences","1996"
"2019-09-30","Auckland","Orders","630"
"2019-09-30","Auckland","Total","2626"
"2019-09-30","Bay of Plenty","Sentences","1640"
"2019-09-30","Bay of Plenty","Orders","395"
"2019-09-30","Bay of Plenty","Total","2035"
"2019-09-30","Canterbury","Sentences","2435"
"2019-09-30","Canterbury","Orders","675"
"2019-09-30","Canterbury","Total","3110"
"2019-09-30","East Coast","Sentences","1991"
"2019-09-30","East Coast","Orders","484"
"2019-09-30","East Coast","Total","2475"
"2019-09-30","Manukau","Sentences","3514"
"2019-09-30","Manukau","Orders","946"
"2019-09-30","Manukau","Total","4460"
"2019-09-30","Nelson/ West Coast","Sentences","1057"
"2019-09-30","Nelson/ West Coast","Orders","186"
"2019-09-30","Nelson/ West Coast","Total","1243"
"2019-09-30","Otago","Sentences","1015"
"2019-09-30","Otago","Orders","274"
"2019-09-30","Otago","Total","1289"
"2019-09-30","Otago and South/ Mid Canterbury","Sentences",""
"2019-09-30","Otago and South/ Mid Canterbury","Orders",""
"2019-09-30","Otago and South/ Mid Canterbury","Total",""
"2019-09-30","Southland/ Central Otago","Sentences","717"
"2019-09-30","Southland/ Central Otago","Orders","159"
"2019-09-30","Southland/ Central Otago","Total","876"
"2019-09-30","Southland and Central/ South Otago","Sentences",""
"2019-09-30","Southland and Central/ South Otago","Orders",""
"2019-09-30","Southland and Central/ South Otago","Total",""
"2019-09-30","Taitokerau","Sentences","1529"
"2019-09-30","Taitokerau","Orders","514"
"2019-09-30","Taitokerau","Total","2043"
"2019-09-30","Taupo/ Rotorua","Sentences","1399"
"2019-09-30","Taupo/ Rotorua","Orders","461"
"2019-09-30","Taupo/ Rotorua","Total","1860"
"2019-09-30","Waikato","Sentences","2958"
"2019-09-30","Waikato","Orders","849"
"2019-09-30","Waikato","Total","3807"
"2019-09-30","Wairarapa/ Manawatu","Sentences","1574"
"2019-09-30","Wairarapa/ Manawatu","Orders","428"
"2019-09-30","Wairarapa/ Manawatu","Total","2002"
"2019-09-30","Waitemata","Sentences","2380"
"2019-09-30","Waitemata","Orders","530"
"2019-09-30","Waitemata","Total","2910"
"2019-09-30","Wellington","Sentences","1894"
"2019-09-30","Wellington","Orders","418"
"2019-09-30","Wellington","Total","2312"
"2019-09-30","Whanganui/ Taranaki","Sentences","1241"
"2019-09-30","Whanganui/ Taranaki","Orders","391"
"2019-09-30","Whanganui/ Taranaki","Total","1632"
"2019-09-30","Other","Sentences",""
"2019-09-30","Other","Orders",""
"2019-09-30","Other","Total",""
"2019-09-30","Auckland Region","Sentences",""
"2019-09-30","Auckland Region","Orders",""
"2019-09-30","Auckland Region","Total",""
"2019-09-30","Bay of Plenty Region","Sentences",""
"2019-09-30","Bay of Plenty Region","Orders",""
"2019-09-30","Bay of Plenty Region","Total",""
"2019-09-30","Canterbury Region","Sentences",""
"2019-09-30","Canterbury Region","Orders",""
